sanskrit_word,devanagari,english,pos,category,example,example_meaning
mandam,मन्दम्,slowly,adverb,adverbs,मन्दं चल।,Walk slowly.
samyak,सम्यक्,correctly,adverb,adverbs,सम्यक् उत्तरं ददातु।,Please answer correctly.
sundaram,सुन्दरम्,beautifully,adverb,adverbs,सुन्दरं गायति।,She sings beautifully.
ucchiḥ,उच्चैः,loudly,adverb,adverbs,उच्चैः वद।,Speak loudly.
mādhuryena,माधुर्यण,sweetly,adverb,adverbs,माधुर्यण भाषते।,He speaks sweetly.
dūrataḥ,दूरतः,from far,adverb,adverbs,दूरतः आगच्छति।,He comes from far.
samīpataḥ,समीपतः,nearby,adverb,adverbs,समीपतः वसति।,He lives nearby.
pravāhaṇena,प्रवाहणेन,continuously,adverb,adverbs,प्रवाहणेन वर्षति।,It rains continuously.
tarunaḥ,तरुणः,youth,noun,age,तरुणः श्रमं करोति।,Youth works.
yuvā,युवा,young man,noun,age,युवा धावति।,Young man runs.
vṛddhaḥ,वृद्धः,old man,noun,age,वृद्धः विश्रामति।,Old man rests.
sthaviraḥ,स्थविरः,elder,noun,age,स्थविरः उपदेशं ददाति।,Elder gives advice.
prauḍhaḥ,प्रौढः,mature,noun,age,प्रौढः निर्णयं करोति।,Mature makes decision.
jīrṇaḥ,जीर्णः,decrepit,noun,age,जीर्णः चलने कष्टं अनुभवति।,Decrepit experiences difficulty in walking.
navayauvanaḥ,नवयौवनः,adolescent,noun,age,नवयौवनः उत्साही भवति।,Adolescent becomes enthusiastic.
paśhu,पशु,animal,noun,animals,पशुः चतुष्पात्।,An animal is quadruped.
pakṣhiṇaḥ,पक्षिणः,bird,noun,animals,पक्षिणः आकाशे उड्डयन्ति।,Birds fly in the sky.
kīṭaḥ,कीटः,insect,noun,animals,कीटः लघुः भवति।,An insect is small.
sarisṛipaḥ,सरीसृपः,reptile,noun,animals,सरीसृपः सर्पः भवति।,A reptile is a snake.
stanyapāyī,स्तन्यपायी,mammal,noun,animals,स्तन्यपायी शिशुं पालयति।,A mammal nourishes its young.
siṃhaḥ,सिंहः,lion,noun,animals,सिंहः वनराजः अस्ति।,Lion is king of forest.
vyāghraḥ,व्याघ्रः,tiger,noun,animals,व्याघ्रः बलवान् अस्ति।,Tiger is strong.
gajaḥ,गजः,elephant,noun,animals,गजः महाकायः अस्ति।,Elephant is huge.
aśvaḥ,अश्वः,horse,noun,animals,अश्वः शीघ्रं धावति।,Horse runs fast.
goḥ,गोः,cow,noun,animals,गोः पूज्या अस्ति।,Cow is worshipped.
vṛṣabhaḥ,वृषभः,bull,noun,animals,वृषभः कर्षति।,Bull ploughs.
śvā,श्वा,dog,noun,animals,श्वा रक्षति।,Dog guards.
mārjāraḥ,मार्जारः,cat,noun,animals,मार्जारः मूषकान् हन्ति।,Cat kills mice.
nakulaḥ,नकुलः,mongoose,noun,animals,नकुलः सर्पान् हन्ति।,Mongoose kills snakes.
śaśaḥ,शशः,rabbit,noun,animals,शशः शीघ्रं धावति।,Rabbit runs fast.
kharaḥ,खरः,donkey,noun,animals,खरः भारं वहति।,Donkey carries load.
uṣṭraḥ,उष्ट्रः,camel,noun,animals,उष्ट्रः जलं सञ्चिनोति।,Camel stores water.
markaṭaḥ,मर्कटः,monkey,noun,animals,मर्कटः उच्चैः कूर्दति।,Monkey jumps high.
ṛkṣaḥ,ऋक्षः,bear,noun,animals,ऋक्षः शीतं सहते।,Bear tolerates cold.
śārṅgaḥ,शार्ङ्गः,deer,noun,animals,शार्ङ्गः चपलः अस्ति।,Deer is swift.
lekha,लेख,drawing,noun,art,लेखः कागदे क्रियते।,Drawing is done on paper。
śilpa,शिल्प,craft,noun,art,शिल्पं हस्तकौशल्यम्।,Craft is hand skill।
bhitti,भित्ति,mural,noun,art,भित्तिचित्रं भवनं शोभयति।,Mural decorates building。
varṇa,वर्ण,color,noun,art,वर्णः चित्रं सजीवं करोति。,Color makes painting lively。
rekhā,रेखा,line,noun,art,रेखा चित्रस्य आधारः।,Line is base of drawing。
ākṛti,आकृति,form,noun,art,आकृतिः वस्तुनः रूपम्।,Form is shape of object।
saundarya,सौन्दर्य,beauty,noun,art,सौन्दर्यं कलायाः लक्ष्यम्。,Beauty is goal of art。
asti,अस्ति,is,auxiliary,auxiliary,सूर्यः उदेति अस्ति।,The sun is rising.
bhavati,भवति,becomes,auxiliary,auxiliary,वर्षा भवति।,It becomes rainy.
śaknoti,शक्नोति,can,auxiliary,auxiliary,अहं धावितुं शक्नोमि।,I can run.
icchati,इच्छति,wants,auxiliary,auxiliary,सः पठितुम् इच्छति।,He wants to study.
ārabhate,आरभते,begins,auxiliary,auxiliary,वह कार्यम् आरभते।,He begins work.
vartate,वर्तते,exists,auxiliary,auxiliary,जलं सर्वत्र वर्तते।,Water exists everywhere.
labhate,लभते,gets,auxiliary,auxiliary,छात्रः ज्ञानं लभते।,Student gets knowledge.
prabhavati,प्रभवति,is able,auxiliary,auxiliary,सः सर्वं कर्तुं प्रभवति।,He is able to do everything.
samarthah,समर्थः,capable,auxiliary,auxiliary,अहं एतत् कर्तुं समर्थः।,I am capable of doing this.
yujyate,युज्यते,is suitable,auxiliary,auxiliary,एतत् कथनं युज्यते।,This saying is suitable.
śukaḥ,शुकः,parrot,noun,birds,शुकः वदति।,Parrot speaks.
kokilaḥ,कोकिलः,cuckoo,noun,birds,कोकिलः गायति।,Cuckoo sings.
kapotaḥ,कपोतः,pigeon,noun,birds,कपोतः उड्डयते।,Pigeon flies.
kākaḥ,काकः,crow,noun,birds,काकः काकायते।,Crow caws.
haṃsaḥ,हंसः,swan,noun,birds,हंसः शुक्लः अस्ति।,Swan is white.
śiraḥ,शिरः,head,noun,body,शिरः उच्चं धरति।,Holds head high.
netram,नेत्रं,eye,noun,body,नेत्रं पश्यति।,Eye sees.
karṇaḥ,कर्णः,ear,noun,body,कर्णः शृणोति।,Ear hears.
nāsikā,नासिका,nose,noun,body,नासिका घ्राणति।,Nose smells.
mukham,मुखं,mouth,noun,body,मुखं भाषते।,Mouth speaks.
dantaḥ,दन्तः,tooth,noun,body,दन्तः चर्वति।,Tooth chews.
jihvā,जिह्वा,tongue,noun,body,जिह्वा रसयति।,Tongue tastes.
hastāḥ,हस्ताः,hands,noun,body,हस्ताः गृह्णन्ति।,Hands hold.
pādau,पादौ,feet,noun,body,पादौ चलतः।,Feet walk.
hrdayam,हृदयं,heart,noun,body,हृदयं स्पन्दति।,Heart beats.
udaram,उदरं,stomach,noun,body,उदरं जीर्यति।,Stomach digests.
asthi,अस्थि,bone,noun,body,अस्थि कठिनं अस्ति।,Bone is hard.
tvak,त्वक्,skin,noun,body,त्वक् स्पृशति।,Skin touches.
keśāḥ,केशाः,hair,noun,body,केशाः शोभन्ते।,Hair looks beautiful.
nakham,नखं,nail,noun,body,नखं छिनत्ति।,Nail cuts.
bāhuḥ,बाहुः,arm,noun,body,बाहुः उत्तोलयति।,Arm lifts.
janghā,जङ्घा,leg,noun,body,जङ्घा धावति।,Leg runs.
prṣṭham,पृष्ठं,back,noun,body,पृष्ठं वक्रं अस्ति।,Back is bent.
vakṣaḥ,वक्षः,chest,noun,body,वक्षः विशालं अस्ति।,Chest is broad.
katiḥ,कटिः,waist,noun,body,कटिः सूक्ष्मा अस्ति।,Waist is slim.
prāsāda,प्रासाद,palace,noun,buildings,प्रासादः राज्ञः निवासः।,Palace is king's residence।
śālā,शाला,shed,noun,buildings,शालायां गावः सन्ति।,There are cows in shed।
harmya,हर्म्य,multi-story building,noun,buildings,हर्म्ये बहवः कोष्ठाः।,Many rooms in multi-story building।
vāstu,वास्तु,building,noun,buildings,वास्तु शिल्पिना निर्मितम्।,Building constructed by architect।
niveśana,निवेशन,residence,noun,buildings,निवेशनं सुखदं भवेत्।,Residence should be comfortable।
prākāra,प्राकार,fort wall,noun,buildings,प्राकारः नगरं रक्षति।,Fort wall protects city।
gopura,गोपुर,gate tower,noun,buildings,गोपुरः उच्चः भवति।,Gate tower becomes high।
kuṭīra,कुटीर,cottage,noun,buildings,कुटीरे ऋषिः वसति।,Sage lives in cottage。
vastram,वस्त्रम्,cloth,noun,clothing,अहं नूतनं वस्त्रं क्रीणामि।,I buy new cloth.
sārī,सारी,sari,noun,clothing,सा सुन्दरां सारीं धारयति।,She wears a beautiful sari.
dhotī,धोती,dhoti,noun,clothing,सः शुभ्रां धोतीं धारयति।,He wears a white dhoti.
kurtaḥ,कुर्तः,kurta,noun,clothing,एषः नीलः कुर्तः अस्ति।,This is a blue kurta.
pāyjāmaḥ,पाय्जामः,pajama,noun,clothing,रात्रौ पाय्जामः धारयति।,He wears pajama at night.
uparavastram,उपरवस्त्रम्,upper garment,noun,clothing,उपरवस्त्रं शीते रक्षति।,Upper garment protects in cold.
adhovastram,अधोवस्त्रम्,lower garment,noun,clothing,अधोवस्त्रं नित्यं धारयति।,He wears lower garment daily.
uttarīyam,उत्तरीयम्,shawl,noun,clothing,उत्तरीयेण शीतं निवारयति।,He wards off cold with shawl.
upānah,उपानह्,shoe,noun,clothing,उपानहौ पादौ रक्षतः।,Shoes protect feet.
mukhavastram,मुखवस्त्रम्,veil,noun,clothing,मुखवस्त्रं मुखं आच्छादयति।,Veil covers the face.
raktaḥ,रक्तः,red,adjective,color,रक्तः पुष्पं अस्ति।,Flower is red.
haritaḥ,हरितः,green,adjective,color,हरितः पत्रं अस्ति।,Leaf is green.
nīlaḥ,नीलः,blue,adjective,color,नीलः आकाशः अस्ति।,Sky is blue.
pītaḥ,पीतः,yellow,adjective,color,पीतः पुष्पं अस्ति।,Flower is yellow.
śuklaḥ,शुक्लः,white,adjective,color,शुक्लः हंसः अस्ति।,Swan is white.
kṛṣṇaḥ,कृष्णः,black,adjective,color,कृष्णः काकः अस्ति।,Crow is black.
śyāmaḥ,श्यामः,dark,adjective,color,श्यामः मेघः अस्ति।,Cloud is dark.
gauraḥ,गौरः,fair,adjective,color,गौरः बालकः अस्ति।,Boy is fair.
samvādaḥ,संवादः,conversation,noun,communication,संवादे विचाराः विनिमीयन्ते।,Ideas are exchanged in conversation.
sandeśaḥ,सन्देशः,message,noun,communication,सन्देशः एकस्य अन्यं प्रति।,Message is from one to another.
patram,पत्रम्,letter,noun,communication,पत्रेण समाचारः प्रेष्यते।,News is sent by letter.
dūtaḥ,दूतः,messenger,noun,communication,दूतः सन्देशं वहति।,Messenger carries message.
bhāṣaṇam,भाषणम्,speech,noun,communication,भाषणं श्रव्यते।,Speech is heard.
śravaṇam,श्रवणम्,listening,noun,communication,श्रवणं संवादस्य अर्धम्।,Listening is half of conversation.
pratyabhijñānam,प्रत्यभिज्ञानम्,recognition,noun,communication,प्रत्यभिज्ञाने नाम ज्ञायते।,Name is known by recognition.
āhvānaṃ,आह्वानं,calling,noun,communication,आह्वाने व्यक्तिः उत्तरति।,Person responds to calling.
saṅketaḥ,सङ्केतः,signal,noun,communication,सङ्केतेन अर्थः ज्ञायते।,Meaning is known by signal.
vijñaptiḥ,विज्ञप्तिः,announcement,noun,communication,विज्ञप्त्या सर्वे जानन्ति।,Everyone knows by announcement.
uttara,उत्तर,better,adjective,comparison,उत्तरं कार्यं करोति।,He does better work।
adham,अधम,worse,adjective,comparison,अधमं कार्यं त्यज।,Abandon worse work।
samāna,समान,equal,adjective,comparison,समानं फलं ददाति।,He gives equal fruit।
adhika,अधिक,more,adjective,comparison,अधिकं जलं पिब।,Drink more water।
nyūna,न्यून,less,adjective,comparison,न्यूनं वद।,Speak less。
śreṣṭha,श्रेष्ठ,best,adjective,comparison,श्रेष्ठं विद्यार्थी पठति।,The best student studies।
kaniṣṭha,कनिष्ठ,younger,adjective,comparison,कनिष्ठः भ्राता क्रीडति।,Younger brother plays।
sadṛśa,सदृश,similar,adjective,comparison,सदृशं वस्त्रं धारयति।,He wears similar clothes।
vibhinna,विभिन्न,different,adjective,comparison,विभिन्ना भाषाः जानाति।,He knows different languages。
ca,च,and,conjunction,conjunctions,रामः श्यामः च पठतः।,Ram and Shyam study.
vā,वा,or,conjunction,conjunctions,अद्य वा श्वः आगमिष्यति।,He will come today or tomorrow.
yadi,यदि,if,conjunction,conjunctions,यदि वर्षा भवति तर्हि न गमिष्यामि।,If it rains then I will not go.
tadā,तदा,then,conjunction,conjunctions,यदि पठसि तदा उत्तीर्णं भविष्यसि।,If you study then you will pass.
kimtu,किन्तु,but,conjunction,conjunctions,अहं गन्तुम् इच्छामि किन्तु न शक्नोमि।,I want to go but cannot.
atha,अथ,so,conjunction,conjunctions,वर्षति अथ सः गृहे तिष्ठति।,It rains so he stays home.
yathā,यथा,as,conjunction,conjunctions,यथा गुरुः आज्ञापयति तथा करोमि।,I do as teacher instructs.
tathā,तथा,thus,conjunction,conjunctions,यथा बीजं तथा फलम्।,As the seed thus the fruit.
api,अपि,also,conjunction,conjunctions,अहं अपि तत्र गच्छामि।,I also go there.
hi,हि,for,conjunction,conjunctions,विद्यार्थी हि पठितव्यम्।,For a student must study.
vṛttaṃ,वृत्तं,behavior,noun,culture,वृत्तं व्यक्तित्वं दर्शयति।,Behavior shows personality.
maryādā,मर्यादा,decorum,noun,culture,मर्यादा सामाजिकनियमः।,Decorum is social rule.
saṁskāraḥ,संस्कारः,sacrament,noun,culture,संस्कारः मनः शुद्धिं करोति।,Sacrament purifies mind.
lokaśāstram,लोकशास्त्रम्,folklore,noun,culture,लोकशास्त्रे जनकथाः सन्ति।,There are folk tales in folklore.
mudrā,मुद्रा,gesture,noun,dance,मुद्रा हस्तैः क्रियते।,Gesture is done by hands।
pada,पद,footwork,noun,dance,पदं चरणैः क्रियते।,Footwork is done by feet।
bhāva,भाव,expression,noun,dance,भावः मुखेन प्रकट्यते।,Expression is shown by face।
tāṇḍava,ताण्डव,vigorous dance,noun,dance,ताण्डवं शिवेन क्रियते।,Vigorous dance is done by Shiva।
lāsya,लास्य,graceful dance,noun,dance,लास्यं पार्वत्या क्रियते।,Graceful dance is done by Parvati।
raṅga,रङ्ग,stage,noun,dance,रङ्गे नर्तकाः नृत्यन्ति।,Dancers dance on stage।
preranā,प्रेरणा,choreography,noun,dance,प्रेरणा नृत्यस्य योजना।,Choreography is planning of dance。
kṛcchra,कृच्छ्र,hardship,noun,difficulty,कृच्छ्रे धैर्यं आवश्यकम्।,Patience is necessary in hardship।
sudurbala,सुदुर्बल,very difficult,adjective,difficulty,सुदुर्बलः प्रश्नः अस्ति।,There is a very difficult question。
dāruṇa,दारुण,severe,adjective,difficulty,दारुणः शीतकालः अस्ति।,There is severe winter。
gahan,गहन,complex,adjective,difficulty,गहनं ग्रन्थं अस्ति।,There is a complex book।
prakaṭ,प्रकट,simple,adjective,difficulty,प्रकटः उत्तरं अस्ति。,There is a simple answer।
anāyāsa,अनायास,effortless,adjective,difficulty,अनायासं कार्यं अस्ति।,There is effortless work।
atarkya,अतर्क्य,incomprehensible,adjective,difficulty,अतर्क्यः विषयः अस्ति।,There is an incomprehensible subject。
vāmaḥ,वामः,left,adjective,direction,वामः हस्तः।,The left hand.
upari,उपरि,above,adverb,direction,उपरि छत्तः अस्ति।,The roof is above.
adhaḥ,अधः,below,adverb,direction,अधः भूमिः अस्ति।,The ground is below.
antaḥ,अन्तः,inside,adverb,direction,अन्तः गृहं शीतलम्।,It is cool inside the house.
bahiḥ,बहिः,outside,adverb,direction,बहिः उष्णता अस्ति।,It is hot outside.
tīraḥ,तीरः,shore,noun,directions_extended,तटं नद्याः तीरः।,Bank is shore of river।
antaḥ,अन्तः,interior,noun,directions_extended,अन्तः गृहस्य भागः।,Interior is part of house।
bahiḥ,बहिः,exterior,noun,directions_extended,बहिः उद्यानं अस्ति।,There is garden exterior。
madhyama,मध्यम,middle,adjective,directions_extended,मध्यमः पुत्रः।,Middle son।
prānta,प्रान्त,border,noun,directions_extended,प्रान्ते सीमा अस्ति।,There is boundary at border।
koṇa,कोण,corner,noun,directions_extended,कोणे पात्रं स्थापितम्।,Vessel placed in corner।
pārśva,पार्श्व,side,noun,directions_extended,पार्श्वे मित्रं तिष्ठति।,Friend stands at side।
āyata,आयत,longitudinal,adjective,directions_extended,आयतः मार्गः।,Longitudinal road।
tiryaṅ,तिर्यङ्,lateral,adjective,directions_extended,तिर्यक् गतिः।,Lateral movement。
samayaḥ,समयः,time period,noun,duration,समयः बहुमूल्यः।,Time is very valuable।
pakṣaḥ,पक्षः,fortnight,noun,duration,पक्षे पञ्चदश दिनानि।,There are fifteen days in a fortnight।
śataṃ,शतं,century,noun,duration,शतं वर्षाणि दीर्घकालः।,Hundred years is a long time।
kṣaṇaḥ,क्षणः,instant,noun,duration,क्षणे सर्वं परिवर्तते।,Everything changes in an instant।
vidyākakṣham,विद्याकक्षम्,classroom,noun,education,विद्याकक्षे अध्यापनं भवति।,Teaching happens in the classroom.
mukhyaviṣhayaḥ,मुख्यविषयः,major,noun,education,मुख्यविषयः प्राथमिकअध्ययनक्षेत्रम्।,Major is primary field of study.
upaviṣhayaḥ,उपविषयः,minor,noun,education,उपविषयः द्वितीयअध्ययनक्षेत्रम्।,Minor is secondary field of study.
śhikṣhaṇaśhulkaḥ,शिक्षणशुल्कः,tuition,noun,education,शिक्षणशुल्कं अध्ययनमूल्यम्।,Tuition is study cost.
chhātravṛitti,छात्रवृत्ति,scholarship,noun,education,छात्रवृत्तिः आर्थिकसहायता।,Scholarship is financial aid.
ārthika sahāyatā,आर्थिक सहायता,financial aid,noun,education,आर्थिक सहायता धनसहायता।,Financial aid is monetary help.
chhātra ṛiṇaḥ,छात्र ऋणः,student loan,noun,education,छात्र ऋणः अध्ययनार्थं ऋणम्।,Student loan is loan for study.
pāṭhyapustakam,पाठ्यपुस्तकः,textbook,noun,education,पाठ्यपुस्तकं पाठ्यक्रमाधारितग्रन्थः।,Textbook is a course-based book.
sukham,सुखं,happiness,noun,emotions,सुखं मनसि भवति।,Happiness occurs in mind.
duḥkham,दुःखं,sorrow,noun,emotions,दुःखं हृदये भवति।,Sorrow occurs in heart.
krodhaḥ,क्रोधः,anger,noun,emotions,क्रोधः विनाशाय भवति।,Anger leads to destruction.
bhayaṃ,भयं,fear,noun,emotions,भयं हृदयं कम्पयति।,Fear trembles heart.
kāmaḥ,कामः,desire,noun,emotions,कामः अनन्तः अस्ति।,Desire is endless.
mohaḥ,मोहः,attachment,noun,emotions,मोहः बन्धनं अस्ति।,Attachment is bondage.
lobhaḥ,लोभः,greed,noun,emotions,लोभः पापस्य मूलम्।,Greed is root of sin.
madaḥ,मदः,pride,noun,emotions,मदः पतनस्य कारणम्।,Pride causes fall.
īrṣyā,ईर्ष्या,jealousy,noun,emotions,ईर्ष्या दुःखदायिनी।,Jealousy causes pain.
dveṣaḥ,द्वेषः,hatred,noun,emotions,द्वेषः वैरस्य कारणम्।,Hatred causes enmity.
prema,प्रेम,love,noun,emotions,प्रेम सर्वं जयति।,Love conquers all.
dayā,दया,compassion,noun,emotions,दया परमं धर्मः।,Compassion is highest duty.
śraddhā,श्रद्धा,faith,noun,emotions,श्रद्धा सफलतायाः मूलम्।,Faith is root of success.
vairāgyaṃ,वैराग्यं,detachment,noun,emotions,वैराग्यं मोक्षस्य मार्गः।,Detachment is path to liberation.
dhairyaṃ,धैर्यं,courage,noun,emotions,धैर्यं विपत्तौ सहायकम्।,Courage helps in adversity.
utsāhaḥ,उत्साहः,enthusiasm,noun,emotions,उत्साहः सिद्धेः कारणम्।,Enthusiasm causes success.
śramaḥ,श्रमः,effort,noun,emotions,श्रमः फलति।,Effort bears fruit.
śāntiḥ,शान्तिः,peace,noun,emotions,शान्तिः परमं सुखम्।,Peace is ultimate happiness.
ānandaḥ,आनन्दः,bliss,noun,emotions,आनन्दः आत्मनि भवति।,Bliss occurs in self.
karuṇa,करुणा,mercy,noun,emotions,करुणा महतां धर्मः।,Mercy is duty of great ones.
dhāvanam,धावनम्,running,noun,exercise,धावनं हृदयबलं वर्धयति।,Running increases heart strength.
kūṭanam,कूटनम्,jumping,noun,exercise,कूटनं पादबलं ददाति।,Jumping gives leg strength.
bhāram,भारम्,weight,noun,exercise,भारं वहनं स्नायुबलकरम्।,Carrying weight is muscle strengthening.
prasāraṇam,प्रसारणम्,stretching,noun,exercise,प्रसारणं स्नायूनां लचकम्।,Stretching is flexibility of muscles.
śvāsakriyā,श्वासक्रिया,breathing exercise,noun,exercise,श्वासक्रिया प्राणं नियन्त्रयति।,Breathing exercise controls life energy.
śramam,श्रमम्,exertion,noun,exercise,श्रमेण शरीरं पुष्टं भवति।,Body becomes strong by exertion.
cālanam,चालनम्,movement,noun,exercise,चालनं जीवनस्य लक्षणम्।,Movement is sign of life.
karmā,कर्मा,activity,noun,exercise,कर्मा स्वास्थ्यरक्षकः।,Activity protects health.
pitā,पिता,father,noun,family,पिता कार्यं करोति।,Father works.
mātā,माता,mother,noun,family,माता पाचयति।,Mother cooks.
putraḥ,पुत्रः,son,noun,family,पुत्रः पठति।,Son studies.
duhitā,दुहिता,daughter,noun,family,दुहिता गायति।,Daughter sings.
bhrātā,भ्राता,brother,noun,family,भ्राता धावति।,Brother runs.
svasā,स्वसा,sister,noun,family,स्वसा नृत्यति।,Sister dances.
patiḥ,पतिः,husband,noun,family,पतिः अध्यापकः अस्ति।,Husband is teacher.
patnī,पत्नी,wife,noun,family,पत्नी गृहिणी अस्ति।,Wife is homemaker.
śvaśuraḥ,श्वशुरः,father-in-law,noun,family,श्वशुरः वृद्धः अस्ति।,Father-in-law is old.
śvaśrū,श्वश्रू,mother-in-law,noun,family,श्वश्रू कथयति।,Mother-in-law tells.
jāmātā,जामाता,son-in-law,noun,family,जामाता व्यापारी अस्ति।,Son-in-law is businessman.
snuṣā,स्नुषा,daughter-in-law,noun,family,स्नुषा सेवां करोति।,Daughter-in-law serves.
naptā,नप्ता,grandson,noun,family,नप्ता क्रीडति।,Grandson plays.
naptrī,नप्त्री,granddaughter,noun,family,नप्त्री हसति।,Granddaughter laughs.
pitāmahaḥ,पितामहः,grandfather,noun,family,पितामहः कथां वदति।,Grandfather tells story.
mātāmahī,मातामही,grandmother,noun,family,मातामही शृणोति।,Grandmother listens.
bandhuḥ,बन्धुः,relative,noun,family,बन्धुः आगच्छति।,Relative comes.
mitram,मित्रं,friend,noun,family,मित्रं सहायं करोति।,Friend helps.
śatruḥ,शत्रुः,enemy,noun,family,शत्रुः युद्धं करोति।,Enemy fights.
guruḥ,गुरुः,teacher,noun,family,गुरुः पाठयति।,Teacher teaches.
śiṣyaḥ,शिष्यः,student,noun,family,शिष्यः अधीते।,Student learns.
duḥkham,दुःखम्,sadness,noun,feelings,दुःखे मनः खिद्यते।,Mind becomes distressed in sadness.
śokaḥ,शोकः,grief,noun,feelings,शोके अश्रूणि पतन्ति।,Tears fall in grief.
autsukyam,औत्सुक्यम्,anxiety,noun,feelings,औत्सुक्ये चित्तं चञ्चलम्।,Mind becomes restless in anxiety.
trāsaḥ,त्रासः,terror,noun,feelings,त्रासे सर्वं विस्मर्यते।,Everything is forgotten in terror.
mahotsavaḥ,महोत्सवः,great festival,noun,festivals,महोत्सवः वर्षे एकवारं भवति।,Great festival happens once a year।
parva,पर्व,festive occasion,noun,festivals,पर्वे नूतनं वस्त्रं धारयति।,He wears new clothes on festive occasion।
dīpāvalī,दीपावली,Diwali,noun,festivals,दीपावल्यां दीपाः प्रज्वल्यन्ते।,Lamps are lit on Diwali।
holī,होली,Holi,noun,festivals,होल्यां रङ्गाः उपयुज्यन्ते।,Colors are used on Holi。
rāmanavamī,रामनवमी,Rama Navami,noun,festivals,रामनवम्यां रामः पूज्यते।,Rama is worshipped on Rama Navami。
janmāṣṭamī,जन्माष्टमी,Janmashtami,noun,festivals,जन्माष्टम्यां कृष्णः स्मर्यते।,Krishna is remembered on Janmashtami।
gāṇapati,गाणपति,Ganesh Chaturthi,noun,festivals,गाणपतौ गणेशः पूज्यते।,Ganesha is worshipped on Ganesh Chaturthi。
navarātra,नवरात्र,Navratri,noun,festivals,नवरात्रे देवी पूज्यते।,Goddess is worshipped during Navratri。
kamalam,कमलम्,lotus,noun,flowers,कमलं जले विकसति।,Lotus blooms in water।
jātī,जाती,jasmine,noun,flowers,जाती पुष्पं श्वेतं भवति。,Jasmine flower becomes white。
mālatī,मालती,jasmine variety,noun,flowers,मालती सुमनोहरा।,Malati is beautiful।
karavīra,करवीर,oleander,noun,flowers,करवीरः विषयुक्तः भवति。,Oleander becomes poisonous。
utpala,उत्पल,blue lotus,noun,flowers,उत्पलं नीलवर्णं भवति。,Utpala becomes blue colored।
śatapatra,शतपत्र,hundred-petaled lotus,noun,flowers,शतपत्रं देवताभिः पूज्यते。,Shatapatra is worshipped by deities।
campaka,चम्पक,champak,noun,flowers,चम्पकः सुगन्धि पुष्पं ददाति。,Champak gives fragrant flower。
annaṃ,अन्नं,food,noun,food,अन्नं जीवनं अस्ति।,Food is life.
odanaṃ,ओदनं,cooked rice,noun,food,ओदनं पचति।,Cooks rice.
roti,रोटि,bread,noun,food,रोटि पक्वा अस्ति।,Bread is baked.
śākaṃ,शाकं,vegetable,noun,food,शाकं पचति।,Cooks vegetable.
māṃsaṃ,मांसं,meat,noun,food,मांसं खादति।,Eats meat.
matsyaḥ,मत्स्यः,fish,noun,food,मत्स्यः स्वादुः अस्ति।,Fish is tasty.
śarkarā,शर्करा,sugar,noun,food,शर्करा मधुरा अस्ति।,Sugar is sweet.
gudaḥ,गुडः,jaggery,noun,food,गुडः पाके उपयुज्यते।,Jaggery is used in cooking.
mṛṇālaṃ,मृणालं,lotus stem,noun,food,मृणालं खाद्यते।,Lotus stem is eaten.
śṛṅgāṭakaṃ,शृङ्गाटकं,water chestnut,noun,food,शृङ्गाटकं कन्दः अस्ति।,Water chestnut is a tuber.
tāmbūlaṃ,ताम्बूलं,betel leaf,noun,food,ताम्बूलं चर्व्यते।,Betel leaf is chewed.
nārikelaḥ,नारिकेलः,coconut,noun,food,नारिकेलः फलं अस्ति।,Coconut is fruit.
drakshā,द्राक्षा,grapes,noun,food,द्राक्षा मधुरा अस्ति।,Grapes are sweet.
āmrāṇaḥ,आम्राणः,mangoes,noun,food,आम्राणः ग्रीष्मे भवन्ति।,Mangoes come in summer.
kadalī,कदली,banana,noun,food,कदली पुष्पं फलति।,Banana plant bears fruit.
nimbūkaḥ,निम्बूकः,lemon,noun,food,निम्बूकः अम्लः अस्ति।,Lemon is sour.
karpūraḥ,कर्पूरः,camphor,noun,food,कर्पूरः सुगन्धि अस्ति।,Camphor is fragrant.
śuṇṭhī,शुण्ठी,dry ginger,noun,food,शुण्ठी औषधं अस्ति।,Dry ginger is medicine.
maricaṃ,मरिचं,pepper,noun,food,मरिचं तीक्ष्णं अस्ति।,Pepper is pungent.
masālāḥ,मसालाः,spice,noun,food,मसालाः स्वादं वर्धयन्ति।,Spices enhance the taste.
kukkuṭam,कुक्कुटम्,chicken,noun,food,कुक्कुटं लघु मांसम्।,Chicken is light meat.
gomānsam,गोमांसम्,beef,noun,food,गोमांसम् अनेके न खादन्ति।,Many do not eat beef.
sukaram,सुकरम्,pork,noun,food,सुकरं मांसम् अपि अस्ति।,Pork is also meat.
aśhvinah,अश्विनः,lamb,noun,food,अश्विनः मांसं मृदु।,Lamb meat is soft.
samudrajantuḥ,समुद्रजन्तुः,seafood,noun,food,समुद्रजन्तुः विविधः भवति।,Seafood is varied.
nityaṃ,नित्यं,daily,adverb,frequency,अहं नित्यं पठामि।,I study daily।
sadā,सदा,always,adverb,frequency,सदा सत्यं वद।,Always speak truth।
kadācit,कदाचित्,sometimes,adverb,frequency,कदाचित् वर्षा भवति।,Sometimes it rains।
prāyaḥ,प्रायः,often,adverb,frequency,प्रायः सः विद्यालयं गच्छति।,He often goes to school।
varāmvaram,वराम्वरम्,again and again,adverb,frequency,वराम्वरं पठनं स्मरणाय।,Reading again and again for memorization।
